id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
32684,Sonic,S,sonic,85,0.30832572062563757,99989581.53245662,887978075.4018362,0.61339743,2.09069163,-2.86905256,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
2694,Nexo,NEXO,nexo,86,1.3252482179726566,10483527.44125533,856303622.446797,0.20389605,0.26707783,1.19701266,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
8000,Lido DAO,LDO,lido-dao,87,0.954294693426062,61981644.32411995,855915417.3615164,0.19870704,3.64311164,-10.6058126,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
5176,Tether Gold,XAUt,tether-gold,88,3372.0597011613436,17482951.00362763,831293645.7690991,0.04767912,0.38004555,1.60381534,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
2011,Tezos,XTZ,tezos,89,0.7887046141887679,24774101.92187993,830877696.1406692,-0.26089847,3.26165385,-8.32108909,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
29420,Virtuals Protocol,VIRTUAL,virtual-protocol,90,1.2573576928442838,105435903.31900324,823974160.570881,0.67152473,2.95288603,-12.61077558,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
36462,Vaulta,A,vaulta,91,0.51116558516136,31956297.85871406,808812360.1535956,0.19378671,2.81729869,-6.18482532,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
2416,Theta Network,THETA,theta-network,92,0.7856461719586492,28965115.58765501,785646171.9586492,0.39761279,4.95243729,-8.63927048,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
8425,JasmyCoin,JASMY,jasmy,93,0.015534335694234626,35556598.64812633,768095223.386475,0.30229708,4.25121898,-5.49899126,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
1720,IOTA,IOTA,iota,94,0.19021040537234069,17901520.40890195,747687661.4206549,-0.25665289,3.25624032,-6.66327971,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
8526,Raydium,RAY,raydium,95,2.7722111817191974,48117626.85287338,742905318.8100729,0.15123344,7.75380738,-10.86418951,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
7080,Gala,GALA,gala,96,0.015867874313688392,73142597.13457914,722286743.1740276,0.15904997,4.85202661,-6.0818112,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
6210,The Sandbox,SAND,the-sandbox,97,0.2769791468833475,40683243.8958036,712747444.592196,0.38385496,4.42804681,-6.93023096,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
29270,Aerodrome Finance,AERO,aerodrome-finance,98,0.8048721768615902,29649137.8509081,703480609.6531793,-0.72665419,3.33612957,-4.9911443,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
28177,Pyth Network,PYTH,pyth-network,99,0.11909124764269158,23180864.13987275,684772909.1128242,0.07173041,3.88985051,-6.4642147,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
9481,Pendle,PENDLE,pendle,100,4.057946360722758,55769177.48875671,672525696.8609253,-0.45513189,1.82792007,-8.23677771,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
